ED	SF	R/O	Country	Code	Username	UUID	Artist	Song	URL	Start	End
25	1	1	Vietnam	vn	787Dreamliner	<@526234727321960450>	365DABAND	BỐNG BỐNG BANG BANG	https://www.youtube.com/watch?v=BwN3NiZt-PU		
25	1	2	Norway	no	Aardvark	<@688275640428003328>	Aqua	Barbie Girl	https://youtu.be/ZyhrYis509A		
25	1	3	Sápmi	fi	Alivelâ	<@714636517414535218>	Steve	Flint and Steel, Chicken Jockey, I Am Steve	https://youtu.be/l5Rmuc_gA9g		
25	1	4	Bermuda	bm	allie	<@1035270252222758942>	Paramore	Misery Business	https://www.youtube.com/watch?v=aCyGvGEtOwc		
25	1	5	Turks and Caicos	tc	Aqua	<@683307049442082823>	The Cranberries	Zombie	https://youtu.be/6Ejga4kJUts		
25	1	6	Bahamas	bs	autumn evergreen	<@316018980387291146>	Semisonic	Closing Time	https://www.youtube.com/watch?v=xGytDsqkQY8		
25	1	7	United States	us	bok	<@236988404263288833>	Outkast	Hey Ya!	https://www.youtube.com/watch?v=PWgvGjAhvIw		
25	1	8	Mexico	mx	burnish	<@547385184907952149>	Alessia Cara, The Warning	Enter Sandman	https://youtu.be/9tKQgesCcTc?si=4hFyyLgHfRnNlqC4		
25	1	9	Ireland	ie	CatgirlNyan	<@564782064642293775>	Hozier, fairyeiry	take me to snurch (snail church)	https://youtu.be/RrDt9a0q3P0		
25	1	10	Micronesia	fm	cee	<@399994759806189570>	The Killers	Mr. Brightside	https://www.youtube.com/watch?v=gGdGFtwCNBE		
25	1	11	Guam	gu	Denss	<@663003594156670976>	Jack Stauber	Buttercup	https://youtu.be/e2qG5uwDCW4		
25	1	12	Falkland Islands	fk	drfg_geo	<@1113177363358957751>	Queen	Don't Stop Me Now	https://youtu.be/HgzGwKwLmgM		
25	1	13	Antarctica	aq	drifty	<@580485078300491806>	Millie B	M to the B	https://youtu.be/FSjvlnneEto		
25	1	14	Armenia	am	DuckOfParadise	<@882556594305523742>	System Of A Down	Chop Suey	https://www.youtube.com/watch?v=CSvFpBOe8eY		
25	1	15	North Korea	kp	elzy	<@291687345802182656>	EVERGLOW	La Di Da	https://youtu.be/jeI992mvlEY		
25	1	16	Spain	es	eze3	<@1266705949398138975>	Don Omar ft. Lucenzo	Danza Kuduro	https://youtu.be/7zp1TbLFPp8		
25	1	17	Liberia	lr	fableman	<@875402261554159687>	twenty one pilots	Chlorine	https://youtu.be/eJnQBXmZ7Ek		
25	1	18	Guernsey	gg	FireballN	<@700164401776558090>	Gorillaz	Feel Good Inc.	https://youtu.be/HyHNuVaZJ-k		
25	1	19	Italy	it	flare	<@668350262255026177>	Paganini	Violin Concerto in B Minor, III. Rondo "La Campanella"	https://youtu.be/rGPT50XhbEg?si=6-ecgQSB0zjpeMj3 		
25	1	1	Vatican City	va	fluffy	<@886213436885860373>	"Weird" Al Yankovic	Amish Paradise	https://www.youtube.com/watch?v=lOfZLb33uCg		
25	2	2	Guatemala	gt	gingersnap	<@1144061469416239244>	Redbone	Come and Get Your Love	https://youtu.be/bc0KhhjJP98		
25	2	3	South Africa	za	Haapsalu	<@398569933077872641>	Master KG	Jerusalema	https://www.youtube.com/watch?v=fCZVL_8D048		
25	2	4	Austria	at	Haley Settembre	<@650043142258819092>	Friedrich Schiller	Ode an die Freude [Ode to Joy]	https://youtu.be/YwV71wE3L7k		
25	2	5	American Samoa	as	Hamlet	<@474906805496053760>	The White Stripes	Seven Nation Army	https://youtu.be/0J2QdDbelmY		
25	2	6	Russia	ru	infinitycode	<@228236907425824770>	Hyper Potions	Lava Chicken	https://youtu.be/ChEkbiBzILc		
25	2	7	Thailand	th	jane	<@1159491258524389458>	BLACKPINK	붐바야 BOOMBAYAH	https://youtu.be/bwmSjveL3Lc		
25	2	8	Jersey	je	Jas	<@1204984196511043594>	Adele	Skyfall	https://youtu.be/DuHUG_X4eSo		
25	2	9	Poland	pl	Jobjob	<@463260027411628033>	Goo Goo Dolls	Iris	https://www.youtube.com/watch?v=NdYWuo9OFAw		
25	2	10	United Kingdom	gb	Kapola7	<@713053430075097119>					
25	2	11	Saint Helena	sh	Koala Dude	<@702215684297588846>	Coldplay	Viva La Vida	https://youtu.be/dvgZkm1xWPE		
25	2	12	Nigeria	ng	Leo	<@1029037861036638208>	Tyler, The Ceator ft. Kali Uchis	SEE YOU AGAIN	https://youtu.be/TGgcC5xg9YI		
25	2	13	Monaco	mc	Lexie	<@1253072720984543294>	JOUJOU	Méchants	https://youtube.com/watch?v=T9mf9L9Y2FY		
25	2	14	Germany	de	Luvexina	<@519905960899248143>	NENA	99 Luftballons	https://youtu.be/Fpu5a0Bl8eY		
25	2	15	Netherlands	nl	Majs	<@971675595618549771>	Zondag met Lubach, Sosha Duysker	Ga niet naar Niewsuur [Don't go to Nieuwsuur]	https://www.youtube.com/watch?v=JY_Wo4TuR0A		
25	2	16	Belgium	be	may	<@1263610083518971917>	Stromae	papaoutai	https://youtu.be/oiKj0Z_Xnjc?si=aqstTFMsgP6Ky_6Z		
25	2	17	Isle of Man	im	Ole06	<@781568237342949386>	Franz Ferdinand	Take Me Out	https://youtu.be/Ijk4j-r7qPA		
25	2	18	Brazil	br	sapphire	<@1076330618276810816>	Ado	うっせぇわ Usseewa [Shut Up]	https://youtu.be/Qp3b-RXtz4w		
25	2	19	San Marino	sm	Mica	<@1363861487843676351>	Gigi D'Agostino	L'Amour Toujours [Love Always]	https://youtu.be/w15oWDh02K4		
25	2	1	Denmark	dk	michcio	<@595171807967969301>	Metallica	No Leaf Clover	https://www.youtube.com/watch?v=Fd9ohpDDCRU		
25	2	2	Venezuela	ve	milton	<@978852436498333736>	Mariah Carey	All I Want For Christmas Is You	https://youtu.be/yXQViqx6GMY		
25	2	3	Algeria	dz	Ninja Warrior	<@694927303200735325>	Dhurata Dora ft. Soolking	Zemër [Heart]	https://youtu.be/GCpvmHi1gxU		
25	2	4	U.S. Virgin Is.	vi	Omni	<@717793971425902622>	Evanescence	Bring Me To Life	https://www.youtube.com/watch?v=3YxaaGgTQYM		
25	3	5	Philippines	ph	Orchid	<@482109828450484235>	Magbalik	LILY	https://www.youtube.com/watch?v=gssR3eBbWNc		
